id,ts_open,ts_open_utc,symbol,direction,alert_type,entry_price,sl_price,tp_price,outcome,exit_ts,exit_ts_utc,r,reason,opposite_within_60m,opposite_ts,opposite_alert_type,range_24h_pct,range_bucket,status_existing,ts_close_existing,exit_price_existing
1699,1786636837,2026-08-13T16:00:37+00:00,INXUSDT,SHORT,bb_squeeze,0.00737,0.007748316831683168,0.0066133663366336635,sl_first,1786639500,2026-08-13T16:45:00+00:00,-1.0,stop_touch,no,,,9.863,below_50%,sl,1786639317,0.00792
1700,1786636864,2026-08-13T16:01:04+00:00,HEIUSDT,SHORT,bb_squeeze,0.1222,0.12738376237623764,0.11183247524752475,sl_first,1786698900,2026-08-14T09:15:00+00:00,-1.0,stop_touch,no,,,13.8234,below_50%,sl,1786698659,0.12795
1701,1786636879,2026-08-13T16:01:19+00:00,TOWNSUSDT,SHORT,bb_squeeze,0.00218,0.0022163762376237626,0.0021072475247524754,tp_first,1786694400,2026-08-14T08:00:00+00:00,1.999999999999988,target_touch,no,,,3.7173,below_50%,tp,1786700458,0.002095
1702,1786636886,2026-08-13T16:01:26+00:00,LITEUSDT,SHORT,bb_squeeze,916.09,930.3745544554456,887.5208910891089,tp_first,1786649400,2026-08-13T19:30:00+00:00,2.0,target_touch,no,,,6.0815,below_50%,tp,1786649937,885.79
1703,1786636897,2026-08-13T16:01:37+00:00,MONUSDT,SHORT,bb_squeeze,0.02148,0.021692673267326733,0.021054653465346535,sl_first,1786660200,2026-08-13T22:30:00+00:00,-1.0,stop_touch,no,,,3.5398,below_50%,tp,1786700785,0.021054653465346535
1704,1786636906,2026-08-13T16:01:46+00:00,ACTUSDT,SHORT,bb_squeeze,0.00971,0.010026237623762375,0.009077524752475247,sl_first,1786710600,2026-08-14T12:30:00+00:00,-1.0,stop_touch,no,,,7.2614,below_50%,sl,1786712128,0.01004
1705,1786636916,2026-08-13T16:01:56+00:00,BILLUSDT,SHORT,bb_squeeze,0.02284,0.023227722772277228,0.022064554455445543,sl_first,1786659300,2026-08-13T22:15:00+00:00,-1.0,stop_touch,no,,,4.6593,below_50%,tp,1786718636,0.02201
1706,1786637345,2026-08-13T16:09:05+00:00,AKEUSDT,SHORT,pump_24h_fade,0.0065591,0.007346192,0.004984916,sl_first,1786651200,2026-08-13T20:00:00+00:00,-1.0,stop_touch,no,,,67.1939,at_or_above_50%,sl,1786651094,0.0084791
1707,1786637632,2026-08-13T16:13:52+00:00,BASEDUSDT,SHORT,bb_squeeze,0.07455,0.07557544554455446,0.07249910891089109,sl_first,1786660200,2026-08-13T22:30:00+00:00,-1.0,stop_touch,no,,,4.8415,below_50%,sl,1786686314,0.07566
1708,1786637708,2026-08-13T16:15:08+00:00,UAIUSDT,SHORT,bb_squeeze,0.24848,0.25478,0.23588,sl_first,1786640400,2026-08-13T17:00:00+00:00,-1.0,stop_touch,no,,,7.7281,below_50%,sl,1786640479,0.25478
1709,1786637841,2026-08-13T16:17:21+00:00,BSPUSDT,SHORT,ema_cross,39.64,42.20724137931035,34.50551724137931,sl_first,1786716900,2026-08-14T14:15:00+00:00,-1.0,stop_touch,yes,1786636558,oversold_24h,28.1027,below_50%,sl,1787169411,42.20724137931035
1710,1786637843,2026-08-13T16:17:23+00:00,SWARMSUSDT,LONG,ema_cross,0.008211,0.007886827586206896,0.008859344827586206,sl_first,1786650300,2026-08-13T19:45:00+00:00,-1.0,stop_touch,no,,,10.2698,below_50%,sl,1786650319,0.007861
