id,ts_open,ts_open_utc,symbol,direction,alert_type,strategy,is_shadow,status,ts_close,ts_close_utc,entry_price,sl_price,tp_price,exit_price,result_r,outcome,btc_candle_ts,btc_candle_ts_utc,btc_close,btc_ema50,trend_regime,regime_reason
1575,1786567105,2026-08-12T20:38:25+00:00,HOLOUSDT,LONG,oversold_24h,oversold_24h,0,sl,1786780582,2026-08-15T07:56:22+00:00,0.07165,0.06389335999340495,0.08716328001319013,0.06207,-1.2350708543718218,loss,1786550400,2026-08-12T16:00:00+00:00,63396.1,64232.11727352038,bear,close_vs_ema50
1576,1786568296,2026-08-12T20:58:16+00:00,BABYUSDT,LONG,oversold_24h,oversold_24h,0,sl,1786839421,2026-08-16T00:17:01+00:00,0.01045,0.009706046611728525,0.011937906776542948,0.00968,-1.0350110801821106,loss,1786550400,2026-08-12T16:00:00+00:00,63396.1,64232.11727352038,bear,close_vs_ema50
1577,1786568718,2026-08-12T21:05:18+00:00,KOMAUSDT,LONG,confluence,confluence,1,sl,1786612506,2026-08-13T09:15:06+00:00,0.014532,0.013433242604187202,0.016729514791625596,0.013407,-1.0238838931025247,loss,1786550400,2026-08-12T16:00:00+00:00,63396.1,64232.11727352038,bear,close_vs_ema50
1578,1786569730,2026-08-12T21:22:10+00:00,TRADOORUSDT,LONG,confluence,confluence,1,sl,1787395810,2026-08-22T10:50:10+00:00,0.631,0.5900103848210465,0.7129792303579069,0.584,-1.146631891878132,loss,1786550400,2026-08-12T16:00:00+00:00,63396.1,64232.11727352038,bear,close_vs_ema50
1579,1786570242,2026-08-12T21:30:42+00:00,GWEIUSDT,SHORT,confluence,confluence,1,sl,1786684518,2026-08-14T05:15:18+00:00,0.024936,0.02693088,0.020946239999999998,0.027076,-1.0727462303496944,loss,1786550400,2026-08-12T16:00:00+00:00,63396.1,64232.11727352038,bear,close_vs_ema50
1580,1786570386,2026-08-12T21:33:06+00:00,MERLUSDT,LONG,oversold_24h,oversold_24h,0,tp,1787242384,2026-08-20T16:13:04+00:00,0.0179,0.016866697430438584,0.01996660513912283,0.01999,2.0226408619956313,win,1786550400,2026-08-12T16:00:00+00:00,63396.1,64232.11727352038,bear,close_vs_ema50
1581,1786570695,2026-08-12T21:38:15+00:00,NXPCUSDT,LONG,oversold_24h,oversold_24h,0,sl,1786600528,2026-08-13T05:55:28+00:00,0.1906,0.18437158492635142,0.20305683014729714,0.1838,-1.091770525822807,loss,1786550400,2026-08-12T16:00:00+00:00,63396.1,64232.11727352038,bear,close_vs_ema50
1582,1786571392,2026-08-12T21:49:52+00:00,OKBUSDT,LONG,streak_1h,streak_1h,0,tp,1786594225,2026-08-13T04:10:25+00:00,97.99,96.1198854033967,101.73022919320658,103.12,2.743147403542893,win,1786550400,2026-08-12T16:00:00+00:00,63396.1,64232.11727352038,bear,close_vs_ema50
1583,1786594136,2026-08-13T04:08:56+00:00,TUTUSDT,LONG,oversold_24h,oversold_24h,0,sl,1786596141,2026-08-13T04:42:21+00:00,0.061517,0.059979075,0.06397768000000001,0.059979075,-1.0,loss,1786579200,2026-08-13T00:00:00+00:00,63620.0,64178.71955929352,bear,close_vs_ema50
1584,1786594147,2026-08-13T04:09:07+00:00,COAIUSDT,LONG,oversold_24h,oversold_24h,0,sl,1786619554,2026-08-13T11:12:34+00:00,0.3458,0.337155,0.359632,0.3358,-1.1567379988432611,loss,1786579200,2026-08-13T00:00:00+00:00,63620.0,64178.71955929352,bear,close_vs_ema50
