tracker_id,source_demo_id,ts_open_utc,source_ts_close_utc,shadow_ts_close_utc,symbol,strategy,direction,source_is_shadow,entry_price,initial_sl_price,tp_price,step_pct,activation_label,activated,shadow_outcome,shadow_exit_method,baseline_outcome,baseline_r,shadow_r,delta_r
62,5473,2026-08-28T01:06:32+00:00,2026-08-28T02:39:24+00:00,2026-08-28T02:24:23+00:00,HFTUSDT,overheated_24h,LONG,1,0.00759,0.007093928571428572,0.008582142857142858,8.0,+0.5R,1,trail_stop,live_price,sl,-1.0,-0.72570194,0.27429806
63,5483,2026-08-28T01:30:25+00:00,2026-08-28T02:46:15+00:00,2026-08-28T02:29:51+00:00,ENAUSDT,ema_cross_confirmed,LONG,1,0.1859,0.17210362068965518,0.21349275862068967,6.0,any_profit,1,trail_stop,live_price,sl,-1.0,-0.60523126,0.39476874
64,5484,2026-08-28T01:30:31+00:00,2026-08-28T16:25:17+00:00,2026-08-28T16:22:00+00:00,ONEUSDT,ema_cross_confirmed,LONG,1,0.000754,0.0007195517241379311,0.0008228965517241379,6.0,any_profit,1,trail_stop,live_price,sl,-1.1031031,-0.8998999,0.2032032
66,5496,2026-08-28T02:06:16+00:00,2026-08-28T10:08:31+00:00,2026-08-28T10:11:57+00:00,DFDVXUSDT,overheated_24h,LONG,1,5.43,5.1784285714285705,5.933142857142857,8.0,+0.5R,0,sl,live_price,sl,-1.0,-1.02555366,-0.02555366
67,5501,2026-08-28T02:11:32+00:00,2026-08-28T03:19:18+00:00,2026-08-28T03:19:18+00:00,BLESSUSDT,overheated_24h,LONG,1,0.012201,0.011278982142857143,0.014045035714285715,8.0,+0.5R,0,sl,live_price,sl,-1.43381171,-1.43381171,0.0
68,5503,2026-08-28T02:16:19+00:00,2026-08-28T02:22:12+00:00,2026-08-28T02:33:20+00:00,SKRUSDT,overheated_24h,LONG,1,0.01129,0.010813535714285715,0.012242928571428571,8.0,+0.5R,0,sl,live_price,sl,-1.0,-1.32223971,-0.32223971
69,5508,2026-08-28T02:30:28+00:00,2026-08-28T14:53:16+00:00,2026-08-28T11:08:35+00:00,ARCUSDT,ema_cross_confirmed,SHORT,1,0.06682,0.07160896551724139,0.05724206896551724,6.0,any_profit,1,trail_stop,live_price,sl,-1.06494816,-0.75172811,0.31322005
70,5510,2026-08-28T02:31:33+00:00,2026-08-28T03:24:50+00:00,2026-08-28T03:24:50+00:00,MOVEUSDT,overheated_24h,LONG,1,0.00963,0.009079285714285713,0.01073142857142857,8.0,+0.5R,0,sl,live_price,sl,-1.12581064,-1.12581064,0.0
71,5676,2026-08-28T04:54:15+00:00,2026-08-28T09:35:43+00:00,2026-08-28T09:35:43+00:00,SKRUSDT,overheated_24h,LONG,1,0.010924,0.010338035714285715,0.012095928571428572,8.0,+0.5R,1,trail_stop,live_price,sl,-1.1126958,-1.1126958,0.0
73,5688,2026-08-28T05:04:01+00:00,2026-08-28T13:13:41+00:00,2026-08-28T07:47:07+00:00,HEMIUSDT,overheated_24h,LONG,1,0.010614,0.009546482142857143,0.012749035714285714,8.0,+0.5R,1,trail_stop,live_price,tp,2.0,0.59015406,-1.40984594
