id,symbol,original_direction,tested_direction,entry,new_sl,new_tp,outcome,exit_ts,r,reason
1776,MORPHOUSDT,SHORT,LONG,1.9366,1.922632673267327,1.9645346534653465,sl_first,1786698000,-1.0,stop_touch
1777,SKYAIUSDT,SHORT,LONG,0.07279,0.06799782178217821,0.08237435643564356,unresolved,1786774500,-0.9244230491105533,window_close
1781,HFTUSDT,SHORT,LONG,0.00796,0.007712871287128713,0.008454257425742575,sl_first,1786701600,-1.0,stop_touch
1782,DOGEUSDT,SHORT,LONG,0.06963,0.06921217821782177,0.07046564356435644,sl_first,1786712400,-1.0,stop_touch
1783,ETHUSDT,SHORT,LONG,1872.19,1863.3362376237624,1889.8975247524754,unresolved,1786779900,0.9227715464701239,window_close
1784,PIPPINUSDT,SHORT,LONG,0.0165,0.016235643564356438,0.017028712871287127,sl_first,1786694400,-1.0,stop_touch
1785,GALAUSDT,SHORT,LONG,0.001634,0.00161980198019802,0.0016623960396039603,sl_first,1786702500,-1.0,stop_touch
1786,HEMIUSDT,SHORT,LONG,0.004669,0.004599158415841585,0.004808683168316831,sl_first,1786700700,-1.0,stop_touch
1791,ATHUSDT,SHORT,LONG,0.003831,0.0037909306930693073,0.003911138613861386,sl_first,1786694400,-1.0,stop_touch
1792,PEOPLEUSDT,SHORT,LONG,0.007671,0.007526227722772278,0.007960544554455443,sl_first,1786725900,-1.0,stop_touch
1798,LPTUSDT,SHORT,LONG,1.193,1.1841881188118812,1.2106237623762377,sl_first,1786718700,-1.0,stop_touch
1799,ALTUSDT,SHORT,LONG,0.005794,0.0057316633663366335,0.005918673267326732,tp_first,1786770900,1.0,target_touch
1800,KGENUSDT,SHORT,LONG,0.18638,0.18257940594059405,0.19398118811881188,sl_first,1786700700,-1.0,stop_touch
1801,MOVEUSDT,LONG,SHORT,0.00643,0.00652960396039604,0.00623079207920792,tp_first,1786695300,1.0,target_touch
1802,LTCUSDT,SHORT,LONG,44.62,44.45009900990099,44.959801980198016,sl_first,1786706100,-1.0,stop_touch
1805,B2USDT,LONG,SHORT,0.486,0.491629702970297,0.47474059405940594,sl_first,1786697100,-1.0,stop_touch
1807,BTWUSDT,LONG,SHORT,0.29371,0.30667167326732675,0.2677866534653466,sl_first,1786701600,-1.0,stop_touch
1808,STARUSDT,SHORT,LONG,0.0784,0.07587960396039603,0.08344079207920793,tp_first,1786710600,1.0,target_touch
1809,ARBUSDT,LONG,SHORT,0.0758,0.07654287128712872,0.07431425742574257,tp_first,1786700700,1.0,target_touch
1811,CRVUSDT,SHORT,LONG,0.2479,0.2430712871287129,0.25755742574257423,sl_first,1786711500,-1.0,stop_touch
1818,ENAUSDT,SHORT,LONG,0.08457,0.08369019801980199,0.08632960396039605,sl_first,1786706100,-1.0,stop_touch
1819,LIGHTUSDT,SHORT,LONG,0.1615,0.15701881188118813,0.17046237623762375,tp_first,1786728600,1.0,target_touch
1820,RIFUSDT,LONG,SHORT,0.07294,0.07435277227722772,0.07011445544554457,tp_first,1786707900,1.0,target_touch
