id,ts_open,ts_open_utc,symbol,direction,alert_type,entry_price,sl_price,tp_price,outcome,exit_ts,exit_ts_utc,r,reason,opposite_within_60m,opposite_ts,opposite_alert_type,range_24h_pct,range_bucket,status_existing,ts_close_existing,exit_price_existing,rsi_1h,rsi_bucket,up_count_12,trend_streak_candles,trend_start_ts,trend_delay_hours,trend_delay_bucket
3080,1787232095,2026-08-20T13:21:35+00:00,MONUSDT,LONG,overheated_24h,0.02592,0.024908035714285712,0.02794392857142857,tp_first,1787295600,2026-08-21T07:00:00+00:00,2.0,target_touch,no,,,24.6657,below_50%,tp,1787295444,0.02794392857142857,88.80157170923383,rsi_ge_80,10,0,,,no_consecutive_trend
3081,1787232102,2026-08-20T13:21:42+00:00,ORDIUSDT,LONG,overheated_24h,4.129,3.9916964285714283,4.403607142857142,tp_first,1787298300,2026-08-21T07:45:00+00:00,2.0,target_touch,no,,,31.6459,below_50%,tp,1787298216,4.403607142857142,73.231031543052,rsi_lt_80,8,0,,,no_consecutive_trend
3082,1787232165,2026-08-20T13:22:45+00:00,XRPUSDT,LONG,overheated_24h,1.1926,1.1680428571428572,1.2417142857142858,tp_first,1787236200,2026-08-20T14:30:00+00:00,1.999999999999991,target_touch,no,,,18.1836,below_50%,tp,1787235426,1.2435,83.89766741911205,rsi_ge_80,9,3,1787216400,4.379166666666666,4-7.9h
3099,1787234332,2026-08-20T13:58:52+00:00,PUMPUSDT,LONG,overheated_24h,0.00353,0.003331732142857143,0.003926535714285715,tp_first,1787268600,2026-08-20T23:30:00+00:00,2.0,target_touch,no,,,17.6351,below_50%,tp,1787268632,0.003926535714285715,75.33692722371964,rsi_lt_80,8,0,,,no_consecutive_trend
3100,1787234384,2026-08-20T13:59:44+00:00,THETAUSDT,LONG,overheated_24h,0.1621,0.15835,0.1696,tp_first,1787304600,2026-08-21T09:30:00+00:00,2.0,target_touch,no,,,14.9786,below_50%,tp,1787304505,0.1706,78.53881278538798,rsi_lt_80,7,1,1787223600,2.9955555555555557,0-3.9h
3103,1787234417,2026-08-20T14:00:17+00:00,RIFUSDT,LONG,overheated_24h,0.08295,0.07958196428571428,0.08968607142857142,sl_first,1787249700,2026-08-20T18:15:00+00:00,-1.0,stop_touch,no,,,16.9089,below_50%,sl,1787249380,0.07942,95.41984732824409,rsi_ge_80,9,4,1787216400,5.004722222222222,4-7.9h
3107,1787234489,2026-08-20T14:01:29+00:00,ONGUSDT,LONG,overheated_24h,0.07637,0.07037642857142856,0.08835714285714284,tp_first,1787256000,2026-08-20T20:00:00+00:00,1.9999999999999978,target_touch,no,,,29.9154,below_50%,tp,1787255371,0.08835714285714284,78.82848392036752,rsi_lt_80,5,2,1787223600,3.024722222222222,0-3.9h
3110,1787234619,2026-08-20T14:03:39+00:00,GALAUSDT,LONG,overheated_24h,0.00155,0.0014823392857142856,0.0016853214285714286,tp_first,1787296500,2026-08-21T07:15:00+00:00,2.0,target_touch,no,,,16.7166,below_50%,tp,1787296498,0.001686,77.56097560975616,rsi_lt_80,7,4,1787216400,5.060833333333333,4-7.9h
3111,1787234632,2026-08-20T14:03:52+00:00,ONUSDT,LONG,overheated_24h,0.29366,0.25102625,0.3789275,unresolved,1787321700,2026-08-21T14:15:00+00:00,0.058169877151318834,window_close,no,,,26.3701,below_50%,open,,,79.10941897036912,rsi_lt_80,5,1,1787227200,2.0644444444444443,0-3.9h
3121,1787236434,2026-08-20T14:33:54+00:00,PEOPLEUSDT,LONG,overheated_24h,0.008732,0.008406982142857143,0.009382035714285714,tp_first,1787239800,2026-08-20T15:30:00+00:00,2.0,target_touch,no,,,14.6658,below_50%,tp,1787239325,0.009382035714285714,63.02460202604923,rsi_lt_80,6,1,1787227200,2.565,0-3.9h
