id,ts_open,symbol,direction,strategy,alert_type,is_shadow,status,ts_close,entry_price,sl_price,tp_price,exit_price,confirmation_level,rr_multiple,rr_multiple_observed,breakeven_wr_pct,result_r,outcome,trend_regime,regime_reason,btc_candle_ts,btc_close,btc_ema50,shadow_reason
3482,1787301910,PTBUSDT,LONG,ema_cross_confirmed,ema_cross_confirmed,1,tp,1787340244,0.0008975,0.0008530275862068965,0.000986444827586207,0.000986444827586207,1/3,2.0,2.000000000000002,33.333333333333336,2.000000000000002,win,bull,close_vs_ema50,1787284800,76303.5,66670.9461074236,
3484,1787302804,ENAUSDT,LONG,overheated_confirmed,overheated_confirmed,1,sl,1787303041,0.14177,0.13679428571428573,0.1492335714285714,0.13674,2/3,1.5,1.4999999999999971,40.0,-1.0109101349411456,loss,bull,close_vs_ema50,1787284800,76303.5,66670.9461074236,
3485,1787302805,TURBOUSDT,LONG,overheated_confirmed,overheated_confirmed,1,sl,1787303041,0.0010584,0.001031180357142857,0.0010992294642857142,0.0010264,2/3,1.5,1.499999999999996,40.0,-1.1756215967985237,loss,bull,close_vs_ema50,1787284800,76303.5,66670.9461074236,
3486,1787302808,STXUSDT,LONG,overheated_confirmed,overheated_confirmed,1,sl,1787303041,0.1636,0.15926607142857144,0.1722678571428571,0.1587,1/3,2.0,2.0,33.333333333333336,-1.1306139266584267,loss,bull,close_vs_ema50,1787284800,76303.5,66670.9461074236,
3487,1787302812,JELLYJELLYUSDT,LONG,ema_cross_confirmed,ema_cross_confirmed,1,sl,1787303305,0.06021,0.058765862068965516,0.06309827586206897,0.058765862068965516,1/3,2.0,2.0,33.333333333333336,-1.0,loss,bull,close_vs_ema50,1787284800,76303.5,66670.9461074236,
3488,1787302815,币安人生USDT,LONG,ema_cross_confirmed,ema_cross_confirmed,1,sl,1787303305,0.5652,0.5387136206896552,0.5916863793103448,0.5387136206896552,3/3,1.0,1.0,50.0,-1.0,loss,bull,close_vs_ema50,1787284800,76303.5,66670.9461074236,
3489,1787302816,GALAUSDT,LONG,ema_cross_confirmed,ema_cross_confirmed,1,sl,1787303783,0.001913,0.001830551724137931,0.001995448275862069,0.001830551724137931,3/3,1.0,0.9999999999999973,50.0,-1.0,loss,bull,close_vs_ema50,1787284800,76303.5,66670.9461074236,
3490,1787302818,EIGENUSDT,LONG,overheated_confirmed,overheated_confirmed,1,sl,1787303068,0.2135,0.2063375,0.22782499999999997,0.2063375,1/3,2.0,2.0,33.333333333333336,-1.0,loss,bull,close_vs_ema50,1787284800,76303.5,66670.9461074236,
3491,1787302824,ENSUSDT,LONG,overheated_confirmed,overheated_confirmed,1,sl,1787303068,5.118,4.976678571428572,5.329982142857143,4.976678571428572,2/3,1.5,1.5,40.0,-1.0,loss,bull,close_vs_ema50,1787284800,76303.5,66670.9461074236,
3492,1787302828,FETUSDT,LONG,overheated_confirmed,overheated_confirmed,1,sl,1787303126,0.1619,0.15676785714285713,0.16959821428571428,0.15676785714285713,2/3,1.5,1.5,40.0,-1.0,loss,bull,close_vs_ema50,1787284800,76303.5,66670.9461074236,
